,First,Last,Name,Nickname,Ht.,Wt.,Reach,Stance,W,L,D,Belt,weightclass
49,Nazareno,Malegarie,Nazareno Malegarie,El Tigre,"5' 8""",155 lbs.,--,,28,4,0,,#N/A
50,Carl,Malenko,Carl Malenko,,"5' 11""",200 lbs.,--,Orthodox,6,4,0,,#N/A
51,Jacob,Malkoun,Jacob Malkoun,Mamba,"5' 9""",185 lbs.,"73.0""",Orthodox,5,1,0,,#N/A
52,Mike,Malott,Mike Malott,The Main Attraction,"6' 0""",145 lbs.,--,,5,1,1,,#N/A
53,Troy,Mandaloniz,Troy Mandaloniz,Rude Boy,"5' 9""",170 lbs.,--,Orthodox,3,2,0,,#N/A
54,Nate,Maness,Nate Maness,Mayhem,"5' 10""",135 lbs.,"72.0""",Orthodox,13,1,0,,#N/A
55,Michael,Mangan,Michael Mangan,,--,155 lbs.,--,,0,3,0,,#N/A
56,Gary,Mangat,Gary Mangat,,"5' 7""",135 lbs.,--,,15,3,0,,#N/A
57,Melvin,Manhoef,Melvin Manhoef,No Mercy,"5' 9""",185 lbs.,--,Orthodox,30,14,1,,#N/A
58,Melchor,Manibusan,Melchor Manibusan,Barracuda,"5' 5""",154 lbs.,--,Southpaw,2,4,0,,#N/A
59,Jon,Manley,Jon Manley,,"6' 1""",170 lbs.,--,Orthodox,9,4,0,,#N/A
60,Steve,Mann,Steve Mann,,"6' 1""",170 lbs.,--,,12,5,0,,#N/A
61,Chris,Manuel,Chris Manuel,,"5' 9""",135 lbs.,--,Orthodox,9,7,2,,#N/A
62,Jimi,Manuwa,Jimi Manuwa,Poster Boy,"6' 1""",205 lbs.,"79.0""",Orthodox,17,6,0,,#N/A
63,Cristiano,Marcello,Cristiano Marcello,,"5' 9""",155 lbs.,"72.0""",Orthodox,13,6,0,,#N/A
64,Jose,Maria,Jose Maria,No Chance,"5' 5""",125 lbs.,--,Orthodox,37,7,0,,#N/A
65,Marcos,Mariano,Marcos Mariano,Dhalsim,"6' 1""",155 lbs.,"76.0""",Switch,6,6,0,,#N/A
66,Enrique,Marin,Enrique Marin,Wasabi,"5' 10""",170 lbs.,--,,10,4,0,,#N/A
67,Ronny,Markes,Ronny Markes,,"6' 1""",185 lbs.,"75.0""",Orthodox,17,5,0,,#N/A
68,Rory,Markham,Rory Markham,,"6' 0""",170 lbs.,"71.0""",Orthodox,17,6,0,,#N/A
69,Randa,Markos,Randa Markos,Quiet Storm,"5' 4""",115 lbs.,"63.0""",Orthodox,10,12,1,,#N/A
70,Christina,Marks,Christina Marks,,"5' 7""",125 lbs.,"69.0""",Orthodox,8,9,0,,#N/A
71,Nate,Marquardt,Nate Marquardt,The Great,"6' 0""",185 lbs.,"74.0""",Orthodox,35,19,2,,#N/A
72,Danilo,Marques,Danilo Marques,,"6' 6""",205 lbs.,"77.0""",Orthodox,11,2,0,,#N/A
73,Julian,Marquez,Julian Marquez,The Cuban Missile Crisis,"6' 2""",185 lbs.,"72.0""",Orthodox,9,2,0,,#N/A
74,Carmelo,Marrero,Carmelo Marrero,The Fury,"6' 0""",205 lbs.,"73.0""",Orthodox,16,6,0,,#N/A
75,Cesar,Marscucci,Cesar Marscucci,,--,--,--,,3,2,0,,#N/A
76,John,Marsh,John Marsh,,"6' 0""",265 lbs.,--,Orthodox,8,7,0,,#N/A
77,CJ,Marsh,CJ Marsh,,--,--,--,,5,7,0,,#N/A
78,Eliot,Marshall,Eliot Marshall,Fire,"6' 2""",205 lbs.,"77.0""",Orthodox,10,4,0,,#N/A
79,Doug,Marshall,Doug Marshall,The Rhino,"5' 10""",205 lbs.,--,Orthodox,18,8,0,,#N/A
80,David,Marshall,David Marshall,,"6' 2""",170 lbs.,--,,8,4,0,,#N/A
81,Jack,Marshman,Jack Marshman,The Hammer,"6' 0""",185 lbs.,"73.0""",Orthodox,23,10,0,,#N/A
82,Terry,Martin,Terry Martin,,"5' 8""",185 lbs.,"71.0""",Orthodox,23,11,0,,#N/A
83,Eric,Martin,Eric Martin,,--,--,--,,0,1,0,,#N/A
84,Justin,Martin,Justin Martin,,"6' 0""",185 lbs.,--,,4,3,0,,#N/A
85,Dave,Martin,Dave Martin,,"6' 0""",205 lbs.,--,,0,2,0,,#N/A
86,Joe,Martin,Joe Martin,,"5' 9""",170 lbs.,--,,6,8,0,,#N/A
87,Anthony Rocco,Martin,Anthony Rocco Martin,,"6' 0""",170 lbs.,"73.0""",Orthodox,17,6,0,,#N/A
88,Mallory,Martin,Mallory Martin,,"5' 4""",115 lbs.,"63.0""",Orthodox,7,4,0,,#N/A
89,Michal,Martinek,Michal Martinek,,"6' 2""",230 lbs.,--,Southpaw,7,1,0,,#N/A
90,Rainy,Martinez,Rainy Martinez,,"6' 0""",199 lbs.,--,Orthodox,0,2,0,,#N/A
91,Danny,Martinez,Danny Martinez,The Gremlin,"5' 6""",125 lbs.,"67.0""",Orthodox,21,8,0,,#N/A
92,Alonzo,Martinez,Alonzo Martinez,Zo Diddy,"5' 10""",155 lbs.,--,,42,20,1,,#N/A
93,Henry,Martinez,Henry Martinez,Sicario,"5' 7""",155 lbs.,"69.0""",Southpaw,9,4,0,,#N/A
94,Jonathan,Martinez,Jonathan Martinez,Dragon,"5' 8""",135 lbs.,"70.0""",Southpaw,13,4,0,,#N/A
95,Poppies,Martinez,Poppies Martinez,The Tachi Kid,"5' 9""",145 lbs.,--,,29,11,0,,#N/A
96,Andrew,Martinez,Andrew Martinez,Mickey D,"5' 9""",215 lbs.,--,,9,6,0,,#N/A
97,Mana,Martinez,Mana Martinez,ManaBoi,"5' 10""",135 lbs.,"70.0""",Orthodox,6,2,0,,#N/A
98,Victor,Martinez,Victor Martinez,The Brick,"5' 10""",155 lbs.,--,,12,4,0,,#N/A
99,Roque,Martinez,Roque Martinez,,"5' 10""",250 lbs.,"72.0""",Orthodox,15,7,2,,#N/A
100,Wagner da Conceicao,Martins,Wagner da Conceicao Martins,Zuluzinho,"6' 7""",390 lbs.,--,Orthodox,9,8,0,,#N/A
101,Adriano,Martins,Adriano Martins,,"5' 10""",155 lbs.,"72.0""",Southpaw,28,9,0,,#N/A
102,Lucas,Martins,Lucas Martins,Mineiro,"6' 0""",145 lbs.,"72.0""",Southpaw,19,3,0,,#N/A
103,Max,Martyniouk,Max Martyniouk,Payne,--,155 lbs.,--,,1,1,0,,#N/A
104,Bristol,Marunde,Bristol Marunde,,"6' 1""",170 lbs.,"75.0""",Orthodox,16,10,0,,#N/A
105,Shoji,Maruyama,Shoji Maruyama,,"5' 7""",139 lbs.,--,Orthodox,12,9,1,,#N/A
106,Mike,Massenzio,Mike Massenzio,The Master of Disaster,"6' 2""",185 lbs.,"73.0""",Southpaw,13,9,0,,#N/A
107,Jameel,Massouh,Jameel Massouh,,"5' 10""",145 lbs.,"72.0""",Orthodox,26,9,0,,#N/A
108,Tiffany,Masters,Tiffany Masters,Rainbow Renegade,"5' 3""",115 lbs.,"65.0""",Orthodox,2,1,0,,#N/A
109,Jorge,Masvidal,Jorge Masvidal,Gamebred,"5' 11""",170 lbs.,"74.0""",Orthodox,35,15,0,,#N/A
110,Al,Matavao,Al Matavao,Sweetness,"5' 8""",205 lbs.,"67.0""",Orthodox,8,3,0,,#N/A
111,Tateki,Matsuda,Tateki Matsuda,Tech,"5' 7""",125 lbs.,--,Orthodox,13,8,0,,#N/A
112,Daijiro,Matsui,Daijiro Matsui,,"5' 9""",200 lbs.,--,Orthodox,13,29,7,,#N/A
113,Koichiro,Matsumoto,Koichiro Matsumoto,,"5' 7""",145 lbs.,--,,15,3,1,,#N/A
114,Naoki,Matsushita,Naoki Matsushita,,"5' 6""",155 lbs.,--,Orthodox,12,16,11,,#N/A
115,AJ,Matthews,AJ Matthews,,"5' 11""",185 lbs.,--,,8,7,0,,#N/A
116,Jake,Matthews,Jake Matthews,The Celtic Kid,"5' 11""",170 lbs.,"73.0""",Orthodox,17,5,0,,#N/A
117,Claudio,Mattos,Claudio Mattos,Popeye,--,185 lbs.,--,Orthodox,5,4,0,,#N/A
118,John,Matua,John Matua,,"6' 2""",400 lbs.,--,Orthodox,1,4,0,,#N/A
119,Francesco,Maturi,Francesco Maturi,,--,--,--,,0,1,0,,#N/A
120,Vladimir,Matyushenko,Vladimir Matyushenko,The Janitor,"6' 0""",205 lbs.,"74.0""",Orthodox,27,8,0,,#N/A
121,Miranda,Maverick,Miranda Maverick,Fear The,"5' 3""",125 lbs.,"65.0""",Southpaw,11,2,0,,#N/A
122,Nick,Maximov,Nick Maximov,,"6' 0""",220 lbs.,"76.0""",Southpaw,6,0,0,,#N/A
123,Elaina,Maxwell,Elaina Maxwell,Beef,"5' 8""",145 lbs.,--,Orthodox,7,4,0,,#N/A
124,Jeremy,May,Jeremy May,,"6' 1""",185 lbs.,--,,13,10,0,,#N/A
125,Jack,May,Jack May,The Outlaw,"6' 8""",255 lbs.,--,Switch,9,3,0,,#N/A
126,Don'Tale,Mayes,Don'Tale Mayes,Lord Kong,"6' 6""",260 lbs.,"81.0""",Orthodox,8,4,0,,#N/A
127,Gray,Maynard,Gray Maynard,,"5' 9""",155 lbs.,"70.0""",Orthodox,13,7,1,,#N/A
128,Brooke,Mayo,Brooke Mayo,The Bully,"5' 7""",125 lbs.,--,,0,1,0,,#N/A
129,Gina,Mazany,Gina Mazany,Danger,"5' 6""",125 lbs.,"68.0""",Southpaw,7,5,0,,#N/A
130,Sabina,Mazo,Sabina Mazo,Colombian Queen,"5' 7""",135 lbs.,"70.0""",Orthodox,9,2,0,,#N/A
131,Scott,McAfee,Scott McAfee,,"5' 8""",155 lbs.,--,Orthodox,14,7,0,,#N/A
132,Bobby,McAndrews,Bobby McAndrews,,--,--,--,Orthodox,1,3,0,,#N/A
133,Michael,McBride,Michael McBride,,"6' 1""",155 lbs.,--,Orthodox,8,3,0,,#N/A
134,Ian,McCall,Ian McCall,Uncle Creepy,"5' 5""",125 lbs.,"64.0""",Orthodox,13,5,1,,#N/A
135,Molly,McCann,Molly McCann,Meatball,"5' 4""",125 lbs.,"62.0""",Orthodox,10,4,0,,#N/A
136,Charles,McCarthy,Charles McCarthy,Chainsaw,"5' 10""",185 lbs.,"71.0""",Orthodox,10,5,0,,#N/A
137,Sean,McCorkle,Sean McCorkle,,"6' 7""",265 lbs.,"81.0""",Orthodox,17,7,0,,#N/A
138,Kris,McCray,Kris McCray,Savage,"6' 0""",170 lbs.,"76.0""",Orthodox,8,5,0,,#N/A
139,Tamdan,McCrory,Tamdan McCrory,The Barncat,"6' 4""",185 lbs.,"76.0""",Switch,14,5,0,,#N/A
140,Rob,McCullough,Rob McCullough,Razor,"5' 9""",155 lbs.,"69.0""",Orthodox,19,8,0,,#N/A
141,Justin,McCully,Justin McCully,The Insane One,"6' 1""",225 lbs.,"73.0""",Orthodox,11,5,2,,#N/A
142,Robert,McDaniel,Robert McDaniel,Bubba,"6' 3""",185 lbs.,"75.0""",Southpaw,28,10,0,,#N/A
143,Michael,McDonald,Michael McDonald,The Black Sniper,"5' 11""",205 lbs.,--,Orthodox,1,1,0,,#N/A
144,Scott,McDonald,Scott McDonald,,--,--,--,,1,0,0,,#N/A
145,Michael,McDonald,Michael McDonald,Mayday,"5' 9""",135 lbs.,"70.0""",Orthodox,17,4,0,,#N/A
146,Josh,McDonald,Josh McDonald,,--,185 lbs.,--,,9,5,0,,#N/A
147,Miles,McDonald,Miles McDonald,,"5' 7""",115 lbs.,--,,2,1,0,,#N/A
148,Justin,McElfresh,Justin McElfresh,,"6' 6""",205 lbs.,--,Orthodox,6,4,0,,#N/A
149,Drew,McFedries,Drew McFedries,The Massacre,"6' 0""",185 lbs.,"72.0""",Southpaw,12,7,0,,#N/A
150,Liam,McGeary,Liam McGeary,,"6' 6""",205 lbs.,--,,12,2,0,,#N/A
151,Gan,McGee,Gan McGee,The Giant,"6' 10""",265 lbs.,--,Orthodox,13,5,0,,#N/A
152,Court,McGee,Court McGee,The Crusher,"5' 11""",170 lbs.,"75.0""",Orthodox,20,10,0,,#N/A
153,Ryan,McGillivray,Ryan McGillivray,The Kid,"5' 11""",170 lbs.,--,,12,0,1,,#N/A
154,Ryan,McGivern,Ryan McGivern,,"6' 0""",185 lbs.,--,Orthodox,13,7,0,,#N/A
155,Jack,McGlaughlin,Jack McGlaughlin,,--,--,--,Orthodox,1,4,0,,#N/A
156,Conor,McGregor,Conor McGregor,The Notorious,"5' 9""",155 lbs.,"74.0""",Southpaw,22,5,0,,#N/A
157,Greg,McIntyre,Greg McIntyre,,"5' 10""",155 lbs.,--,Orthodox,6,4,0,,#N/A
158,Antonio,McKee,Antonio McKee,Mandingo,"5' 8""",155 lbs.,--,Southpaw,29,6,2,,#N/A
159,AJ,McKee,AJ McKee,Mercenary,"5' 10""",145 lbs.,--,,8,0,0,,#N/A
160,Rhys,McKee,Rhys McKee,Skeletor,"6' 2""",170 lbs.,"78.0""",Orthodox,10,4,1,,#N/A
161,Cory,McKenna,Cory McKenna,The Hobbit,"5' 3""",115 lbs.,"58.0""",Orthodox,6,1,0,,#N/A
162,Tim,McKenzie,Tim McKenzie,,"6' 0""",185 lbs.,"74.0""",Orthodox,14,9,0,,#N/A
163,Cody,McKenzie,Cody McKenzie,,"6' 0""",155 lbs.,"72.0""",Switch,16,10,0,,#N/A
164,Terrance,McKinney,Terrance McKinney,,"5' 11""",145 lbs.,"74.0""",Switch,4,2,0,,#N/A
165,Brian,McLaughlin,Brian McLaughlin,,"5' 9""",155 lbs.,--,,6,2,0,,#N/A
166,Jason,McLean,Jason McLean,,"5' 5""",145 lbs.,--,,6,7,0,,#N/A
167,Garreth,McLellan,Garreth McLellan,Soldier Boy,"6' 1""",185 lbs.,"72.0""",Southpaw,13,6,0,,#N/A
168,Sara,McMann,Sara McMann,,"5' 6""",135 lbs.,"66.0""",Orthodox,12,6,0,,#N/A
169,James,McSweeney,James McSweeney,The Hammer,"6' 4""",230 lbs.,"77.0""",Switch,15,15,0,,#N/A
170,Charles,McTorry,Charles McTorry,,--,--,--,,3,0,0,,#N/A
171,Daniel,McWilliams,Daniel McWilliams,The Animal,"6' 1""",185 lbs.,--,,15,37,0,,#N/A
172,Tim,Means,Tim Means,The Dirty Bird,"6' 2""",170 lbs.,"75.0""",Orthodox,31,12,1,,#N/A
173,Yancy,Medeiros,Yancy Medeiros,,"5' 10""",155 lbs.,"75.0""",Orthodox,15,7,0,,#N/A
174,Anistavio,Medeiros,Anistavio Medeiros,Gasparzinho,"5' 6""",145 lbs.,--,Orthodox,19,10,0,,#N/A
175,Kaline,Medeiros,Kaline Medeiros,The Dark Angel,"5' 3""",115 lbs.,--,,8,5,0,,#N/A
176,Uros,Medic,Uros Medic,The Doctor,"6' 1""",155 lbs.,"71.0""",Southpaw,7,0,0,,#N/A
177,Todd,Medina,Todd Medina,El Tiburon,"5' 10""",193 lbs.,--,Southpaw,11,9,0,,#N/A
178,Jason,Medina,Jason Medina,,"5' 9""",180 lbs.,--,,21,15,1,,#N/A
179,Emil,Meek,Emil Meek,Valhalla,"5' 11""",170 lbs.,"74.0""",Switch,9,5,1,,#N/A
180,Sanford Alton,Meeks,Sanford Alton Meeks,,"6' 5""",265 lbs.,"75.0""",Orthodox,1,1,0,,#N/A
181,Gerald,Meerschaert,Gerald Meerschaert,GM3,"6' 1""",185 lbs.,"77.0""",Southpaw,32,14,0,,#N/A
182,Frank,Megallon,Frank Megallon,,"5' 10""",185 lbs.,--,Southpaw,2,3,0,,#N/A
183,Derrick,Mehmen,Derrick Mehmen,Caveman,"6' 4""",205 lbs.,--,,19,9,0,,#N/A
184,Miika,Mehmet,Miika Mehmet,,--,205 lbs.,--,Orthodox,3,5,0,,#N/A
185,Jordan,Mein,Jordan Mein,Young Gun,"6' 0""",170 lbs.,"73.0""",Orthodox,31,12,0,,#N/A
186,Bryce,Mejia,Bryce Mejia,,"6' 1""",170 lbs.,--,,3,1,0,,#N/A
187,Brian,Melancon,Brian Melancon,,"5' 8""",170 lbs.,--,Orthodox,7,3,0,,#N/A
188,Brandon,Melendez,Brandon Melendez,The Murderer,"5' 11""",155 lbs.,--,Southpaw,25,25,0,,#N/A
189,Gilbert,Melendez,Gilbert Melendez,El Nino,"5' 9""",145 lbs.,"73.0""",Orthodox,22,8,0,,#N/A
190,Marcelo,Mello,Marcelo Mello,,"5' 7""",170 lbs.,--,Southpaw,1,0,0,,#N/A
191,Fabio,Mello,Fabio Mello,,"5' 5""",155 lbs.,--,Southpaw,11,8,0,,#N/A
192,Vanessa,Melo,Vanessa Melo,,"5' 5""",135 lbs.,"65.0""",Orthodox,11,8,0,,#N/A
193,Antonio,Mendes,Antonio Mendes,Samurai,"6' 3""",205 lbs.,"77.0""",Southpaw,18,13,0,,#N/A
194,Chad,Mendes,Chad Mendes,Money,"5' 6""",145 lbs.,"66.0""",Orthodox,18,5,0,,#N/A
195,Augusto,Mendes,Augusto Mendes,Tanquinho,"5' 6""",135 lbs.,"65.0""",Orthodox,6,2,0,,#N/A
196,Eddie,Mendez,Eddie Mendez,,"5' 10""",185 lbs.,--,,8,3,1,,#N/A
197,Luis,Mendoza,Luis Mendoza,,--,155 lbs.,--,,0,1,0,,#N/A
198,Pietro,Menga,Pietro Menga,,"5' 7""",125 lbs.,"68.0""",Southpaw,13,0,0,,#N/A
199,Alonzo,Menifield,Alonzo Menifield,Atomic,"6' 0""",205 lbs.,"76.0""",Orthodox,10,2,0,,#N/A
200,Ivan,Menjivar,Ivan Menjivar,The Pride of El Salvador,"5' 6""",145 lbs.,"64.0""",Orthodox,25,12,0,,#N/A
201,Dave,Menne,Dave Menne,The Warrior,"5' 10""",170 lbs.,--,Orthodox,45,17,2,,#N/A
202,Steve,Mensing,Steve Mensing,The Machine,"5' 11""",185 lbs.,--,Orthodox,9,13,2,,#N/A
203,Buck,Meredith,Buck Meredith,,"6' 2""",185 lbs.,--,,3,3,0,,#N/A
204,Adam,Meredith,Adam Meredith,,"6' 2""",170 lbs.,--,,5,3,0,,#N/A
205,Joe,Merritt,Joe Merritt,,"6' 0""",170 lbs.,--,Orthodox,7,2,0,,#N/A
206,Jeremiah,Metcalf,Jeremiah Metcalf,,"6' 1""",185 lbs.,--,Orthodox,13,7,0,,#N/A
207,Jonathan,Meunier,Jonathan Meunier,District,"6' 3""",170 lbs.,--,Switch,8,1,0,,#N/A
208,Yaotzin,Meza,Yaotzin Meza,,"5' 9""",145 lbs.,"71.0""",Orthodox,21,11,0,,#N/A
209,Guy,Mezger,Guy Mezger,,"6' 1""",200 lbs.,--,Orthodox,30,14,2,,#N/A
210,Brandon,Michaels,Brandon Michaels,,"5' 9""",185 lbs.,--,,4,14,0,,#N/A
211,Andreas,Michailidis,Andreas Michailidis,The Spartan,"6' 0""",185 lbs.,"76.0""",Orthodox,13,4,0,,#N/A
212,David,Michaud,David Michaud,BullDawg,"5' 9""",155 lbs.,--,Orthodox,11,3,0,,#N/A
213,Chris,Mickle,Chris Mickle,,"5' 9""",145 lbs.,--,Orthodox,30,21,2,,#N/A
214,Zachary,Micklewright,Zachary Micklewright,,"6' 0""",155 lbs.,"74.0""",Southpaw,15,3,0,,#N/A
215,Kristof,Midoux,Kristof Midoux,The Hurricane,"6' 1""",220 lbs.,--,Orthodox,6,10,0,,#N/A
216,Keith,Mielke,Keith Mielke,,"5' 8""",185 lbs.,--,,0,5,0,,#N/A
217,Chris,Mierzwiak,Chris Mierzwiak,,"6' 1""",185 lbs.,--,,5,3,0,,#N/A
218,Gabriel,Miglioli,Gabriel Miglioli,Biel,"5' 8""",170 lbs.,--,,9,9,0,,#N/A
219,Bojan,Mihajlovic,Bojan Mihajlovic,,"5' 11""",205 lbs.,"73.0""",Orthodox,10,6,0,,#N/A
220,Billy,Miles,Billy Miles,The Kid,"5' 10""",170 lbs.,--,Orthodox,2,2,0,,#N/A
221,Pat,Miletich,Pat Miletich,The Croatian Sensation,"5' 10""",170 lbs.,--,Orthodox,29,7,2,,#N/A
222,Curtis,Millender,Curtis Millender,Curtious,"6' 2""",170 lbs.,"76.0""",Orthodox,17,5,0,,#N/A
223,Phillip,Miller,Phillip Miller,,"5' 11""",185 lbs.,--,Orthodox,16,0,0,,#N/A
224,Jason,Miller,Jason Miller,Mayhem,"6' 1""",185 lbs.,--,Orthodox,23,10,0,,#N/A
225,Dan,Miller,Dan Miller,,"6' 1""",185 lbs.,"74.0""",Orthodox,14,8,0,,#N/A
226,Jim,Miller,Jim Miller,A-10,"5' 8""",155 lbs.,"71.0""",Southpaw,32,16,0,,#N/A
227,Cole,Miller,Cole Miller,Magrinho,"6' 1""",145 lbs.,"73.0""",Orthodox,21,11,0,,#N/A
228,Henry,Miller,Henry Miller,Sentoryu,"5' 7""",270 lbs.,--,Southpaw,6,16,0,,#N/A
229,Micah,Miller,Micah Miller,Maverick,"6' 0""",145 lbs.,--,Orthodox,20,8,0,,#N/A
230,Aaron,Miller,Aaron Miller,Blood Spiller,"5' 9""",145 lbs.,--,,14,10,0,,#N/A
231,Mo,Miller,Mo Miller,Mo Show,"5' 9""",135 lbs.,--,,5,0,0,,#N/A
232,Eddy,Millis,Eddy Millis,,"6' 1""",185 lbs.,--,,0,2,0,,#N/A
233,Che,Mills,Che Mills,Beautiful,"6' 1""",170 lbs.,"76.0""",Orthodox,16,10,0,,#N/A
234,Adam,Milstead,Adam Milstead,The Prototype,"6' 3""",205 lbs.,"76.0""",Orthodox,8,4,0,,#N/A
235,Alberto,Mina,Alberto Mina,Soldier of God,"6' 0""",170 lbs.,"77.0""",Orthodox,13,1,0,,#N/A
236,Vitaly,Minakov,Vitaly Minakov,,"6' 2""",249 lbs.,--,,20,0,0,,#N/A
237,Darrick,Minner,Darrick Minner,,"5' 7""",145 lbs.,"69.0""",Orthodox,26,11,0,,#N/A
238,Mike,Minniger,Mike Minniger,,--,--,--,,0,0,0,,#N/A
239,Ikuhisa,Minowa,Ikuhisa Minowa,Minowaman,"5' 9""",181 lbs.,--,Orthodox,60,42,8,,#N/A
240,Carlton,Minus,Carlton Minus,Clutch,"5' 10""",170 lbs.,"75.0""",Orthodox,10,3,0,,#N/A
241,Stipe,Miocic,Stipe Miocic,,"6' 4""",240 lbs.,"80.0""",Orthodox,20,4,0,,#N/A
242,Frank,Mir,Frank Mir,,"6' 3""",264 lbs.,"79.0""",Southpaw,18,11,0,,#N/A
243,Juan,Miranda,Juan Miranda,,--,155 lbs.,--,,7,5,0,,#N/A
244,Mario,Miranda,Mario Miranda,,"6' 3""",185 lbs.,"74.0""",Orthodox,14,7,0,,#N/A
245,Vitor,Miranda,Vitor Miranda,Lex Luthor,"6' 1""",185 lbs.,"77.0""",Orthodox,12,5,0,,#N/A
246,Damir,Mirenic,Damir Mirenic,Wolf,"6' 0""",185 lbs.,--,Orthodox,9,4,0,,#N/A
247,Kazuo,Misaki,Kazuo Misaki,Hitman,"5' 8""",183 lbs.,--,Orthodox,25,11,2,,#N/A
248,Toby,Misech,Toby Misech,2 Quick,"5' 8""",145 lbs.,--,Southpaw,9,5,0,,#N/A
249,Dokonjonosuke,Mishima,Dokonjonosuke Mishima,,"5' 7""",155 lbs.,--,Southpaw,21,7,2,,#N/A
250,Felix Lee,Mitchell,Felix Lee Mitchell,,--,--,--,Orthodox,2,7,0,,#N/A
251,David,Mitchell,David Mitchell,Daudi,"6' 0""",170 lbs.,"75.0""",Orthodox,22,7,0,,#N/A
252,Danny,Mitchell,Danny Mitchell,The Cheesecake Assassin,"6' 2""",170 lbs.,--,Orthodox,19,9,1,,#N/A
253,Brad,Mitchell,Brad Mitchell,,"5' 11""",145 lbs.,--,,4,2,0,,#N/A
254,Clay,Mitchell,Clay Mitchell,,"6' 2""",185 lbs.,--,,1,2,0,,#N/A
255,Bryce,Mitchell,Bryce Mitchell,Thug Nasty,"5' 10""",145 lbs.,"70.0""",Southpaw,14,1,0,,#N/A
256,Maurice,Mitchell,Maurice Mitchell,The AK Kid,"5' 9""",145 lbs.,--,Orthodox,11,2,0,,#N/A
257,Roman,Mitichyan,Roman Mitichyan,,"5' 10""",170 lbs.,--,Orthodox,8,3,0,,#N/A
258,Matt,Mitrione,Matt Mitrione,,"6' 3""",265 lbs.,"82.0""",Switch,12,5,0,,#N/A
259,Eiji,Mitsuoka,Eiji Mitsuoka,,"5' 7""",145 lbs.,--,Southpaw,18,9,2,,#N/A
260,Hiromitsu,Miura,Hiromitsu Miura,,"5' 9""",170 lbs.,"71.0""",Orthodox,12,7,0,,#N/A
261,Jonathan,Mix,Jonathan Mix,,"6' 0""",168 lbs.,--,,7,4,0,,#N/A
262,Tomoya,Miyashita,Tomoya Miyashita,,"5' 7""",139 lbs.,--,Southpaw,17,9,7,,#N/A
263,Kazuyuki,Miyata,Kazuyuki Miyata,,"5' 8""",139 lbs.,--,Orthodox,15,9,0,,#N/A
264,Motoki,Miyazawa,Motoki Miyazawa,,"5' 11""",168 lbs.,--,Southpaw,7,3,0,,#N/A
265,Takeya,Mizugaki,Takeya Mizugaki,,"5' 7""",135 lbs.,"69.0""",Orthodox,21,11,2,,#N/A
266,Tatsuya,Mizuno,Tatsuya Mizuno,,"6' 1""",205 lbs.,--,Southpaw,16,12,1,,#N/A
267,Roxanne,Modafferi,Roxanne Modafferi,The Happy Warrior,"5' 7""",125 lbs.,"69.0""",Orthodox,25,19,0,,#N/A
268,Bobby,Moffett,Bobby Moffett,The Wolfman,"5' 10""",145 lbs.,"73.0""",Orthodox,13,5,0,,#N/A
269,Bronson,Mohika,Bronson Mohika,,--,135 lbs.,--,,1,1,0,,#N/A
270,Nate,Mohr,Nate Mohr,,"5' 9""",155 lbs.,"72.0""",Orthodox,9,7,0,,#N/A
271,Renato,Moicano,Renato Moicano,,"5' 11""",155 lbs.,"72.0""",Orthodox,14,4,1,,#N/A
272,Thiago,Moises,Thiago Moises,,"5' 9""",155 lbs.,"70.0""",Orthodox,15,4,0,,#N/A
273,Ashkan,Mokhtarian,Ashkan Mokhtarian,The Assassin,"5' 6""",125 lbs.,"67.0""",Southpaw,13,3,0,,#N/A
274,Suman,Mokhtarian,Suman Mokhtarian,,"5' 8""",145 lbs.,"72.0""",Orthodox,8,5,0,,#N/A
275,Dan,Molina,Dan Molina,,"5' 10""",216 lbs.,--,,13,9,0,,#N/A
276,Jeff,Molina,Jeff Molina,El Jefe,"5' 6""",125 lbs.,"69.0""",Orthodox,9,2,0,,#N/A
277,Rudyard,Moncayo,Rudyard Moncayo,,"5' 10""",195 lbs.,--,Orthodox,0,3,0,,#N/A
278,Hidetaka,Monma,Hidetaka Monma,,"6' 0""",168 lbs.,--,Orthodox,18,11,4,,#N/A
279,Jeff,Monson,Jeff Monson,The Snowman,"5' 9""",247 lbs.,"74.0""",Orthodox,60,26,1,,#N/A
280,Darrell,Montague,Darrell Montague,Mongoose,"5' 6""",125 lbs.,"67.0""",Southpaw,13,5,0,,#N/A
281,Andrew,Montanez,Andrew Montanez,,--,185 lbs.,--,,9,12,1,,#N/A
282,Augusto,Montano,Augusto Montano,Dodger,"6' 1""",170 lbs.,"73.0""",Orthodox,15,3,0,,#N/A
283,Erick,Montano,Erick Montano,Perry,"6' 0""",170 lbs.,"73.0""",Orthodox,7,5,0,,#N/A
284,Nicco,Montano,Nicco Montano,,"5' 5""",135 lbs.,"65.0""",Southpaw,5,3,0,,#N/A
285,Alberto,Montes,Alberto Montes,The Promise,"5' 7""",135 lbs.,--,,4,0,0,,#N/A
286,Steve,Montgomery,Steve Montgomery,The Creepy Weasel,"6' 4""",185 lbs.,--,Southpaw,9,5,0,,#N/A
287,James,Moontasri,James Moontasri,Moon Walker,"5' 10""",170 lbs.,"71.0""",Switch,9,5,0,,#N/A
288,Homer,Moore,Homer Moore,The Rock,"5' 10""",205 lbs.,--,Orthodox,26,9,2,,#N/A
